username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;;
OutNumbMother;26/11/2016 21:59;0;5;It’s as if Fidel Castro knew the role of fascist dictator had been filled by Trump so he could finally die.;;;;8,02663E+17;https://twitter.com/OutNumbMother/status/802663178576531457;;
Liaison1011;26/11/2016 21:59;0;0;Fidel Castro , who led Cuba for a half-century, dies at 90 http://www. pbs.org/newshour/bb/fi del-castro-cuban-revolutionary-dies-90/#.WDoh8e_k9dQ.twitter … via @NewsHour;;@NewsHour;#;8,02663E+17;https://twitter.com/Liaison1011/status/802663178005946368;;
massie_lewis;26/11/2016 21:59;0;0;How Cuban-Americans can be so proud of the US is beyond me. They literally tried to destroy you as a nation, thank god for #FidelCastro;;;#FidelCastro;8,02663E+17;https://twitter.com/massie_lewis/status/802663177959849984;;
Plantagenet2;26/11/2016 21:59;0;0;So Fidel Castro it was time to go Let's face it u were pretty old The cigar went out You puffed your last. The big cigar in the sky awaits;;;;8,02663E+17;https://twitter.com/Plantagenet2/status/802663177649528832;;
andypierucciUT;26/11/2016 21:59;0;1;Hopefully the death of Fidel Castro will lead to some positive changes in Cuba. #CubaLibre #castrodeath;;;#CubaLibre #castrodeath;8,02663E+17;https://twitter.com/andypierucciUT/status/802663173824229376;;
purpandorange;26/11/2016 21:59;0;1;"I never knew that #FidelCastro installing totalitarian communist regimes was considered liberation"". I think Johnny needs a dictionary. https:// twitter.com/reattalk/statu s/802657594900889600 …""";;;#FidelCastro;8,02663E+17;https://twitter.com/purpandorange/status/802663173648187392;;
MaraJobItalia;26/11/2016 21:59;0;0;#FidelCastro : are not too many nine days of national mourning for a criminal? http:// kakami.altervista.org/nueve-dias-de- luto-por-un-criminal-no-es-demasiado/ … #cuba #miami;;;#FidelCastro #cuba #miami;8,02663E+17;https://twitter.com/MaraJobItalia/status/802663172859695105;;
cgnetwork;26/11/2016 21:59;0;0;Fidel Castro 's 'True Destiny': His Decades-Long Struggle Against U.S.: The late Cuban… https:// goo.gl/fb/juKQCh;;;;8,02663E+17;https://twitter.com/cgnetwork/status/802663172138266628;;
cgnetwork;26/11/2016 21:59;0;0;After Fidel Castro 's Death, What's Next For U.S.-Cuba Relationship?: Amherst University… https:// goo.gl/fb/789heE;;;;8,02663E+17;https://twitter.com/cgnetwork/status/802663171551035396;;
BenGran;26/11/2016 21:59;0;0;Wear your Castro shirt Sunday in Miami Colin: #cubalibre Unrepentant hypocrite Colin Kaepernick defends Fidel Castro http://www. miamiherald.com/sports/spt-col umns-blogs/armando-salguero/article117033883.html …;;;#cubalibre;8,02663E+17;https://twitter.com/BenGran/status/802663161027497984;;
Champergirl;26/11/2016 21:59;0;0;Fidel Castro is dead! by #Team_Trump45;;;#Team_Trump45;8,02663E+17;https://twitter.com/Champergirl/status/802663160343826432;;
TrishaHendricks;26/11/2016 21:59;1;1;Some are hopeful for Cuba’s future following #FidelCastro 's death, while others are skeptical of whether much will change. #12News @6 pm;;@6;#FidelCastro #12News;8,02663E+17;https://twitter.com/TrishaHendricks/status/802663154798956544;;
Henrymoorethird;26/11/2016 21:59;0;0;Fidel Castro in His Own Words http:// feedproxy.google.com/~r/entrepreneu r/latest/~3/Sphox5eJsKA/285735 …;;;;8,02663E+17;https://twitter.com/Henrymoorethird/status/802663147609804800;;
etherbunny;26/11/2016 21:59;0;0;Black America and the Passing of Fidel Castro @alternet http://www. alternet.org/human-rights/b lack-america-and-passing-fidel-castro …;;@alternet;;8,02663E+17;https://twitter.com/etherbunny/status/802663146645094400;;
YourKinfolkz;26/11/2016 21:59;0;0;9 Instances of Fidel Castro and Cubans Helping Black People Fight Colonialism and White Supremacy - Atlanta Black... http:// fb.me/8xElDCyrM;;;;8,02663E+17;https://twitter.com/YourKinfolkz/status/802663138491564032;;
Sheriannis;26/11/2016 21:59;1;1;Fidel Castro is dead. Glenn Garvin is professor of history today. Wow. http://www. miamiherald.com/news/nation-wo rld/world/americas/fidel-castro-en/article117186483.html …;;;;8,02663E+17;https://twitter.com/Sheriannis/status/802663137208102912;;
Summiesisreal;26/11/2016 21:59;0;0;"I Need That Immaculate Stay At Home Mom Pussy""- Fidel Castro For Calvin Klein, 1990""";;;;8,02663E+17;https://twitter.com/Summiesisreal/status/802663132481122304;;
Twitto_GR;26/11/2016 21:59;0;1;Hashtags trending now in Greece: #stinigiamas , #greece , #athens , #photooftheday and #fidelcastro > https:// twitto.gr;;;#stinigiamas #greece #athens #photooftheday #fidelcastro;8,02663E+17;https://twitter.com/Twitto_GR/status/802663128412590080;;
philcorso;26/11/2016 21:59;1;3;If you're going to opine about Fidel Castro without mentioning that he didn't say a WORD about The Dress please literally unfollow me https:// twitter.com/jessesingal/st atus/802662819380494336 …;;;;8,02663E+17;https://twitter.com/philcorso/status/802663121164890113;;
zardonic;26/11/2016 21:59;0;0;What did Fidel Castro mean to you? https://www. instagram.com/p/BNSuyaLBT63/;;;;8,02663E+17;https://twitter.com/zardonic/status/802663115171053569;;
Hector32z;26/11/2016 21:59;0;0;Cuban exiles pour onto Miami streets to celebrate Fidel Castro ’s death http://www. miamiherald.com/news/nation-wo rld/world/americas/cuba/article117201053.html …;;;;8,02663E+17;https://twitter.com/Hector32z/status/802663112788713472;;
fujimoto_masaya;26/11/2016 21:59;0;0;Cuba's Fidel Castro dies at 90 - News - NHK WORLD - English http:// www3.nhk.or.jp/nhkworld/en/ne ws/20161126_16/ …;;;;8,02663E+17;https://twitter.com/fujimoto_masaya/status/802663107415908353;;
ZaraSy3d;26/11/2016 21:59;0;3;"Condemn me, it does not matter, history will absolve me""- Fidel Castro""";;;;8,02663E+17;https://twitter.com/ZaraSy3d/status/802663101078212608;;
dlb703;26/11/2016 21:59;0;0;Fidel Castro Finally Dead: Stand By for Deluge of Tears From @Kaepernick7 & Co. https:// shar.es/18gWvX;;@Kaepernick7;;8,02663E+17;https://twitter.com/dlb703/status/802663092266078213;;
felipeochoa78;26/11/2016 21:59;0;0;@MariaFdaCabal @realDonaldTrump I admire you called Fidel Castro 's a dictator. Obama's comments are a shame for US policy;;@MariaFdaCabal @realDonaldTrump;;8,02663E+17;https://twitter.com/felipeochoa78/status/802663090697314304;;
figuetree;26/11/2016 21:59;0;1;friendly reminder that you are allowed to be both anti-imperialist and anti-dictatorship #FidelCastro;;;#FidelCastro;8,02663E+17;https://twitter.com/figuetree/status/802663088122187776;;
orcra10;26/11/2016 21:59;0;0;Former Cuban leader Fidel Castro dead,nobody but extremists/communist/corrupt/stupid/ignorant idiots will ever miss this terrible man.;;;;8,02663E+17;https://twitter.com/orcra10/status/802663082472390656;;
jtpaase;26/11/2016 21:59;0;0;Why Nelson Mandela Loved Fidel Castro http://www. huffingtonpost.com/2013/12/06/nel son-mandela-castro_n_4400212.html?ncid=engmodushpmg00000004 … #via @LatinoVoices;;@LatinoVoices;#via;8,02663E+17;https://twitter.com/jtpaase/status/802663072510935040;;
johnsteve;26/11/2016 21:59;0;0;Sad to see of BBC headline all day. You're not the Sun. Or are you? Trump calls Fidel Castro 'brutal dictator' http://www. bbc.co.uk/news/world-lat in-america-38118739 …;;;;8,02663E+17;https://twitter.com/johnsteve/status/802663071692902400;;
AlgoPolitic;26/11/2016 21:59;0;0;Ted Cruz Rips Justin Trudeau For Praising Fidel Castro http:// algo.fyi/xiqla #trending pic.twitter.com/xpAqlI0fTD;;;#trending;8,02663E+17;https://twitter.com/AlgoPolitic/status/802663069155553280;;
svsoriza;26/11/2016 21:59;0;2;Fidel Castro died and we still don't know what the numbers fucking mean;;;;8,02663E+17;https://twitter.com/svsoriza/status/802663062776016896;;
phaxyn;26/11/2016 21:59;0;0;guardian: Observer front page, Sunday 27 November 2016: Fidel Castro , 1926-2016 pic.twitter.com/rZoJ0WTIPU;;;;8,02663E+17;https://twitter.com/phaxyn/status/802663061572243456;;
neilclevine;26/11/2016 21:59;1;0;Yes, he called him Uncle Fidel. Castro was still an autocrat who was responsible for much suffering @BobPickard;;@BobPickard;;8,02663E+17;https://twitter.com/neilclevine/status/802663058636177412;;
IdalinBobe;26/11/2016 21:59;0;3;This year I got to visit @rubenharris ' family in #Cuba and hear firsthand the leader #FidelCastro was. It was an honor to celebrate his 90th;;@rubenharris;#Cuba #FidelCastro;8,02663E+17;https://twitter.com/IdalinBobe/status/802663057407123456;;
Thilsana;26/11/2016 21:59;0;1;"Why does the British left still worship Fidel Castro as a hero?"" Well, he got rid of Batista and no-one likes a corrupt US backed leader. https:// twitter.com/Independent/st atus/802661717163446272 …""";;;;8,02663E+17;https://twitter.com/Thilsana/status/802663056023097344;;
FuBlacMusic;26/11/2016 21:59;0;0;Colin Kaepernick grilled by Miami Dolphins reporter over Fidel Castro shirt http:// fb.me/8cXS4sKhh;;;;8,02663E+17;https://twitter.com/FuBlacMusic/status/802663055511482368;;
Report24CA;26/11/2016 21:59;0;0;Trudeau remembers Fidel Castro as a legendary revolutionary and orator #TODAY https:// goo.gl/N0IgNt pic.twitter.com/OWNSjOf921;;;#TODAY;8,02663E+17;https://twitter.com/Report24CA/status/802663049291104256;;
MondeDePhotos;26/11/2016 21:59;0;0;Havana mourns Fidel Castro – in pictures https:// goo.gl/vjzzXA pic.twitter.com/4qsQSBDb84;;;;8,02663E+17;https://twitter.com/MondeDePhotos/status/802663037769576448;;
BenWeinthal;26/11/2016 21:59;14;8;Must-read: @SenTedCruz on Cuba's dictator Fidel Castro . http://www. nationalreview.com/article/442485 /fidel-castro-dead-ted-cruz-cuban-dictator-oppression-raul …;;@SenTedCruz;;8,02663E+17;https://twitter.com/BenWeinthal/status/802663028797734912;;
Haziq_Escobar;26/11/2016 21:59;0;0;FIDEL Castro was so devastated about American election results, that he just died rather than see the Trump as a president.;;;;8,02663E+17;https://twitter.com/Haziq_Escobar/status/802663028625850368;;
MetroResponse;26/11/2016 21:59;0;0;"Vladimir Putin sends condolences to Cuba, saying Fidel Castro was a reliable friend of Russia.""… https:// twitter.com/i/web/status/8 02659453329936384 …""";;;;8,02663E+17;https://twitter.com/MetroResponse/status/802663028479160320;;
guardiannews;26/11/2016 21:59;23;23;Observer front page, Sunday 27 November 2016: Fidel Castro , 1926-2016 pic.twitter.com/ehNclDaJjG;;;;8,02663E+17;https://twitter.com/guardiannews/status/802663027921162240;;
guardian;26/11/2016 21:59;82;70;Observer front page, Sunday 27 November 2016: Fidel Castro , 1926-2016 pic.twitter.com/pSiIbnwNBD;;;;8,02663E+17;https://twitter.com/guardian/status/802663027912757248;;
JoyceGell2;26/11/2016 21:59;0;0;Fidel Castro ’s Death Casts Doubt on Cuba-U.S. Relations - The Wall Street Journal #WHY ? https:// apple.news/A8JlA4HiqSS62L SfdaXYTXA …;;;#WHY;8,02663E+17;https://twitter.com/JoyceGell2/status/802663027585716224;;
GOPLeader89;26/11/2016 21:59;0;0;Fidel Castro is dead and World Leaders are mourning his death like he is some hero. Fools....;;;;8,02663E+17;https://twitter.com/GOPLeader89/status/802663021692604416;;
PayamAzad1;26/11/2016 21:59;1;1;The late Fidel Castro was right. My condolences to Cuban Nation and 99% of the people of this planet.;;;;8,02663E+17;https://twitter.com/PayamAzad1/status/802663021101187072;;
Tko_oh;26/11/2016 21:59;0;0;How some white ppl celebrating the death of Fidel Castro . Just a devilish race;;;;8,02663E+17;https://twitter.com/Tko_oh/status/802663016772861952;;
ssheridan214;26/11/2016 21:59;2;4;Men like Fidel Castro live to be 90 while my grandfather died at 67. Life is wildly unfair sometimes.;;;;8,02663E+17;https://twitter.com/ssheridan214/status/802663013647937537;;
wolfdance13;26/11/2016 21:59;0;0;#FidelCastro : The Light of #Cuba http://www. radioguantanamo.icrt.cu/english/index. php?option=com_content&view=article&id=2421&catid=40&Itemid=774#.WDohvstDm_Q.twitter …;;;#FidelCastro #Cuba #;8,02663E+17;https://twitter.com/wolfdance13/status/802663007708938240;;
dbbmonica;26/11/2016 21:59;0;0;President Obama will not visit Fidel Castro during Cuba... https:// goo.gl/fb/CY8rej #fidelcastro;;;#fidelcastro;8,02663E+17;https://twitter.com/dbbmonica/status/802663005297266688;;
SAUSALITOTPARTY;26/11/2016 21:59;0;0;UN Secretary-General Ban Ki-moon praises Fidel Castro as ‘a strong voice for social justice’ http:// ift.tt/2flWKQb;;;;8,02663E+17;https://twitter.com/SAUSALITOTPARTY/status/802663004051566592;;
theipaper;26/11/2016 21:59;2;0;Crowds of exiled Cubans gather in Miami to celebrate death of Fidel Castro http:// trib.al/jyYyZsf;;;;8,02663E+17;https://twitter.com/theipaper/status/802663003091070976;;
OptioneerJM;26/11/2016 21:59;0;0;mashable: Obama and Trump's opposite reactions to Fidel Castro 's death caught the internet's ire … pic.twitter.com/8B6tzxcT2H;;;;8,02663E+17;https://twitter.com/OptioneerJM/status/802662997738950656;;
Turquoise2_;26/11/2016 21:59;0;1;No, no. It's Fidel Castro .;;;;8,02663E+17;https://twitter.com/Turquoise2_/status/802662996514246656;;
ArcOzlem;26/11/2016 21:59;0;0;#fidelcastro holding the New prime minister of Canada #JustinTrudeau https://www. instagram.com/p/BNSuu58hJuA/;;;#fidelcastro #JustinTrudeau;8,02663E+17;https://twitter.com/ArcOzlem/status/802662994610044928;;
rockarthunter;26/11/2016 21:59;0;0;WIKILEAKS BREAKING NEWS: Julian Assange is Alive. Fidel Castro on WikiLe... https:// youtu.be/IBr-hyPHku0 via @YouTube;;@YouTube;;8,02663E+17;https://twitter.com/rockarthunter/status/802662991862919170;;
LetishaANjax;26/11/2016 21:59;0;0;"Miami Herald's Headline  Fidel Castro is Dead "" http:// tinyurl.com/zyr8q4j""";;;;8,02663E+17;https://twitter.com/LetishaANjax/status/802662988872318976;;
dem91800103;26/11/2016 21:59;0;0;Fidel Castro : Among world's most influential leaders for a ha that man was death long time ago.;;;;8,02663E+17;https://twitter.com/dem91800103/status/802662984585768962;;
AndrewBlades;26/11/2016 21:59;0;0;Look back at Fidel Castro 's life http:// buff.ly/2g4oEiO pic.twitter.com/YcIBzHszh2;;;;8,02663E+17;https://twitter.com/AndrewBlades/status/802662983243563008;;
mel_has_art;26/11/2016 21:59;0;0;Now that Fidel Castro has passed away, I hope Cuba doesn't give up Assata Shakur.;;;;8,02663E+17;https://twitter.com/mel_has_art/status/802662983113568257;;
RdubHall;26/11/2016 21:59;0;0;Hey @fidelcastro , have you voted for @normmacdonald 's #BasedOnATrueStory at....oh....never mind....;;@fidelcastro @normmacdonald;#BasedOnATrueStory;8,02663E+17;https://twitter.com/RdubHall/status/802662982878515201;;
StribMultimedia;26/11/2016 21:59;0;0;Photos: Fidel Castro through the years. http:// strib.mn/2g44gOQ pic.twitter.com/letCReSoYX;;;;8,02663E+17;https://twitter.com/StribMultimedia/status/802662981851025412;;
Mikeyy__172;26/11/2016 21:59;1;0;Rip the OG #FidelCastro;;;#FidelCastro;8,02663E+17;https://twitter.com/Mikeyy__172/status/802662976843055104;;
PC_GoneWild;26/11/2016 21:59;0;0;#2016MannequinChallengeWinner : #FidelCastro ! (too soon?) http:// fb.me/6lhkFAWox;;;#2016MannequinChallengeWinner #FidelCastro;8,02663E+17;https://twitter.com/PC_GoneWild/status/802662975345524736;;
St_Habs;26/11/2016 21:58;0;0;Telegram for the death of Fidel Castro - Vatican Radio http:// en.radiovaticana.va/news/1275046 he will be missed !! hasta la victoria siempre!!;;;;8,02663E+17;https://twitter.com/St_Habs/status/802662971067535360;;
ignius57;26/11/2016 21:58;0;0;Fidel Castro was a murderer,a criminal and an enslaver of the cuban people,he also separed it thousands of families in the last 57 years https:// twitter.com/calgaryherald/ status/802654713338589188 …;;;;8,02663E+17;https://twitter.com/ignius57/status/802662968869548034;;
Kemper0821;26/11/2016 21:58;0;2;fidel castro was in firefly?;;;;8,02663E+17;https://twitter.com/Kemper0821/status/802662960422264832;;
kmcgrory;26/11/2016 21:58;1;1;"In my childhood imagination, Fidel Castro 's death unfolded differently."" More from the talented @AlexandraZayas : http://www. tampabay.com/news/politics/ children-of-cuban-exiles-ponder-meaning-of-castros-death/2304184 …""";;@AlexandraZayas;;8,02663E+17;https://twitter.com/kmcgrory/status/802662959931654144;;
StateofGlobe;26/11/2016 21:58;0;0;University of Havana mourns former student and Cuban leader Fidel Castro (PHOTOS) - http:// stateofglobe.com/2016/11/27/uni versity-of-havana-mourns-former-student-and-cuban-leader-fidel-castro-photos/ … - #Global #News pic.twitter.com/NxLHrl9fXy;;;#Global #News;8,02663E+17;https://twitter.com/StateofGlobe/status/802662959126290433;;
GyanS;26/11/2016 21:58;0;0;Fidel Castro wins 'Best Fidel Castro Beard competition' pic.twitter.com/LW6gdp7Ukw;;;;8,02663E+17;https://twitter.com/GyanS/status/802662954558574592;;
rdossantos;26/11/2016 21:58;0;0;Despot Fidel Castro brought the world to the brink of Armageddon http:// dailym.ai/2gtfeu3;;;;8,02663E+17;https://twitter.com/rdossantos/status/802662953463988224;;
BBCknn;26/11/2016 21:58;0;1;How Donald Trump responded to the death of Fidel Castro , ‘a brutal dictator’ https://www. washingtonpost.com/news/the-fix/w p/2016/11/26/here-is-donald-trumps-reaction-to-fidel-castros-death/?postshare=5551480186450131&tid=ss_tw …;;;;8,02663E+17;https://twitter.com/BBCknn/status/802662949861068800;;
rabb1th0le;26/11/2016 21:58;0;0;Fidel Castro dies at age 90, his brother announces on TV (ENG SUBTITLES) https:// youtu.be/OFSV0kloa_4 via @YouTube;;@YouTube;;8,02663E+17;https://twitter.com/rabb1th0le/status/802662924351176704;;
Haziq_Escobar;26/11/2016 21:58;0;1;GUESS where Fidel Castro is now? Heavana;;;;8,02663E+17;https://twitter.com/Haziq_Escobar/status/802662918537887745;;
DealGenies;26/11/2016 21:58;1;0;Snag Overwatch on PC/PS4/Xbox 1 for only $34.99! http:// supremealerts.info/product/13852. html … Fidel Castro pic.twitter.com/vAetVPAu72;;;;8,02663E+17;https://twitter.com/DealGenies/status/802662915027439616;;
MarkDundasWood;26/11/2016 21:58;0;2;"Congrats, #OliviaDeHaviland . You beat your sister in the Indestructible Celebs?"" competition. And now you whooped #FidelCastro by a decade.""";;;#OliviaDeHaviland #FidelCastro;8,02663E+17;https://twitter.com/MarkDundasWood/status/802662913055952896;;
PedrinPanamersa;26/11/2016 21:58;0;1;...Beginning of the XXI century, USA elected a black President, the world saw a Latin American Pope, Fidel Castro died, Trump President USA!;;;;8,02663E+17;https://twitter.com/PedrinPanamersa/status/802662907695820800;;
gecko39;26/11/2016 21:58;0;2;How the world is remembering Fidel Castro https:// twitter.com/i/moments/8023 96919158837248 …;;;;8,02663E+17;https://twitter.com/gecko39/status/802662906487672832;;
RyanTirman;26/11/2016 21:58;0;0;The romanticisation of Fidel Castro 's Cuba must die with him http:// littleatoms.com/news-world/rom anticisation-fidel-castros-cuba-must-die-him …;;;;8,02663E+17;https://twitter.com/RyanTirman/status/802662885813993472;;
tdycavinu;26/11/2016 21:58;0;0;Fidel Castro stood up against American imperialism and exploitation of Cuba.;;;;8,02663E+17;https://twitter.com/tdycavinu/status/802662882622062593;;
catchmelonely;26/11/2016 21:58;0;0;Fidel Castro died and camrens shook;;;;8,02663E+17;https://twitter.com/catchmelonely/status/802662872555864064;;
sheilaweeks;26/11/2016 21:58;0;0;University of Havana mourns former student and Cuban leader Fidel Castro (PHOTOS) http:// dlvr.it/MlZcsb pic.twitter.com/BgRpdNvfS8;;;;8,02663E+17;https://twitter.com/sheilaweeks/status/802662869892403200;;
asanthxsh;26/11/2016 21:58;0;0;Mom: You know that Philadelphia died? Me: Philadelphia? Mom: Oh, I meant Fidel Castro !;;;;8,02663E+17;https://twitter.com/asanthxsh/status/802662868424544256;;
ReporterAndrewJ;26/11/2016 21:58;0;0;Sorry to ruin your Fidel Castro Memorial Service, but I need to say this... pic.twitter.com/D06C4JVruW;;;;8,02663E+17;https://twitter.com/ReporterAndrewJ/status/802662864360091648;;
_Mupeta;26/11/2016 21:58;0;1;Correction about my earlier tweet. THIS is the best thread I've read today RE: Fidel Castro . https:// twitter.com/JoametteGil/st atus/802630377776947200 …;;;;8,02663E+17;https://twitter.com/_Mupeta/status/802662853673189376;;
conspiracyf0rum;26/11/2016 21:58;0;0;Nine Liberal Hollywood Elites Who Normalized Communist Dictator Fidel Castro https:// conspiracyforumz.com pic.twitter.com/G1wsLIi09Z;;;;8,02663E+17;https://twitter.com/conspiracyf0rum/status/802662852737859584;;
spartareport;26/11/2016 21:58;0;1;SICK: Canadian Prime Minister Praises Fidel Castro as a Legendary Revolutionary,… https://www. hotgas.net/2016/11/sick-c anadian-prime-minister-praises-fidel-castro-legendary-revolutionary-remarkable-leader/ … pic.twitter.com/lewHG3UY7i;;;;8,02663E+17;https://twitter.com/spartareport/status/802662852708462592;;
SherazadeOliv;26/11/2016 21:58;0;0;"@SherazadeOliv They will be cremating Fidel Castro body, I think it's wast of time since he's ALREADY BURNING IN HELL""""";;@SherazadeOliv;;8,02663E+17;https://twitter.com/SherazadeOliv/status/802662850938499072;;
AcademiaTRE;26/11/2016 21:58;0;0;Cuba's Fidel Castro , former president, dies aged 90 - BBC News http:// fb.me/1AusrFlbp;;;;8,02663E+17;https://twitter.com/AcademiaTRE/status/802662841815683073;;
LuisGDaCosta;26/11/2016 21:58;0;0;#FidelCastro and #CheGuevara were the pinnacle of #leftist romanticism that generated both tragedy and incomprehensible media whitewashing https:// twitter.com/freedomforusno w/status/802657123343560704 …;;;#FidelCastro #CheGuevara #leftist;8,02663E+17;https://twitter.com/LuisGDaCosta/status/802662839680897024;;
newstellerr;26/11/2016 21:58;0;0;Cubans mark Fidel Castro with 9 day mourning period http:// world-breaking-news.org/cubans-mark-fi del-castro-with-9-day-mourning-period/ …;;;;8,02663E+17;https://twitter.com/newstellerr/status/802662837843886080;;
sadforcanada;26/11/2016 21:58;0;0;"#Kathleen Wynn is sad for the passing of fellow communist dictator #FidelCastro . She said He is the only pol with a better beard than me""""";;;#Kathleen #FidelCastro;8,02663E+17;https://twitter.com/sadforcanada/status/802662828788318208;;
jessesingal;26/11/2016 21:58;91;455;If you're going to opine about Fidel Castro without mentioning that he didn't say a WORD about GamerGate please literally unfollow me;;;;8,02663E+17;https://twitter.com/jessesingal/status/802662819380494336;;
Charlyee1111;26/11/2016 21:58;0;0;@VaticanObserv @vaticanlibrary Fidel Castro was a KILLER, a DICTATOR. This Papa does not represent what JESUS https:// twitter.com/bonifazzi200/s tatus/802651935983681536 …;;@VaticanObserv @vaticanlibrary;;8,02663E+17;https://twitter.com/Charlyee1111/status/802662810375204864;;
CholaConCello;26/11/2016 21:58;0;0;"If you want to learn a different perspective on Fidel Castro than you've been taught, read this thread."" https:// twitter.com/SeanSharesStuf f/status/802655942084956160 …""";;;;8,02663E+17;https://twitter.com/CholaConCello/status/802662805711167488;;
CollectedN;26/11/2016 21:58;0;0;The difference between Havana and Miami when Fidel Castro died was stark http:// ift.tt/2flUKYa;;;;8,02663E+17;https://twitter.com/CollectedN/status/802662803823702016;;
kieran_lennon_;26/11/2016 21:58;0;1;Rip Fidel Castro my man and my homie rest in peptides;;;;8,02663E+17;https://twitter.com/kieran_lennon_/status/802662796982976512;;
CollectedN;26/11/2016 21:58;0;0;At Cuban embassy in D.C., people stop to contemplate Fidel Castro ’s death http:// ift.tt/2gKvtHn;;;;8,02663E+17;https://twitter.com/CollectedN/status/802662793912651776;;
jimmypimentel;26/11/2016 21:58;0;0;#trudeaueulogy #FidelCastro fact#4 since Dec 1961 Cubans have restrictions of movement, internal and to travel abroad @CNN @CBCTheNational;;@CNN @CBCTheNational;#trudeaueulogy #FidelCastro #4;8,02663E+17;https://twitter.com/jimmypimentel/status/802662786996273152;;
ChosenLawyers;26/11/2016 21:58;2;3;Ex-soccer star Diego Maradona says Fidel Castro was like his 'second father' https://www. yahoo.com/news/m/57a2da6 1-998c-356e-8a34-95e0caa4a83e/ex-soccer-star-diego-maradona.html?.tsrc=fauxdal …;;;;8,02663E+17;https://twitter.com/ChosenLawyers/status/802662782906691584;;
NotifyrInc;26/11/2016 21:58;0;0;'Shameful and embarrassing': #JustinTrudeau gets slammed for his remarks praising #FidelCastro http:// notifyr.link/2838625;;;#JustinTrudeau #FidelCastro;8,02663E+17;https://twitter.com/NotifyrInc/status/802662781451309057;;
currentnewspage;26/11/2016 21:58;0;0;#breakingnews BREAKING NEWS: Former Cuban leader Fidel Castro dies - http:// wivb.com http:// dlvr.it/MlZch1 pic.twitter.com/wzCBLgrcQR;;;#breakingnews;8,02663E+17;https://twitter.com/currentnewspage/status/802662780725706753;;
jealvarez;26/11/2016 21:58;0;0;'Shameful and embarrassing': Justin Trudeau gets slammed for his remarks praising Fidel Castro http:// dlvr.it/MlZcYJ pic.twitter.com/YgCs89meE3;;;;8,02663E+17;https://twitter.com/jealvarez/status/802662775327596544;;
Brown9501Brown;26/11/2016 21:58;1;1;Black America and the Passing of Fidel Castro @alternet http://www. alternet.org/human-rights/b lack-america-and-passing-fidel-castro …;;@alternet;;8,02663E+17;https://twitter.com/Brown9501Brown/status/802662773331296256;;
